"Date","Site","EpisodeCase","SpecCollectedCase","FirstConfirmed"
2020-09-08,"MMSD-P18",16,18,1
2020-09-08,"MMSD-P2",239,385,43
2020-09-08,"MMSD-P7",3,4,1
2020-09-08,"MMSD-P8",19,28,1
2020-09-09,"MMSD-P11",23,22,18
2020-09-09,"MMSD-P18",10,6,16
2020-09-09,"MMSD-P2",151,226,373
2020-09-09,"MMSD-P7",4,3,4
2020-09-09,"MMSD-P8",18,15,27
2020-09-10,"MMSD-P11",9,12,16
2020-09-10,"MMSD-P18",20,15,7
2020-09-10,"MMSD-P2",95,166,160
2020-09-10,"MMSD-P7",11,6,2
2020-09-10,"MMSD-P8",11,14,10
2020-09-11,"MMSD-P11",18,22,10
2020-09-11,"MMSD-P18",9,11,9
2020-09-11,"MMSD-P2",92,195,107
2020-09-11,"MMSD-P7",2,1,2
2020-09-11,"MMSD-P8",8,8,10
2020-09-12,"MMSD-P11",14,17,15
2020-09-12,"MMSD-P18",8,8,7
2020-09-12,"MMSD-P2",44,30,137
2020-09-12,"MMSD-P7",7,9,5
2020-09-12,"MMSD-P8",5,7,9
2020-09-13,"MMSD-P11",5,2,12
2020-09-13,"MMSD-P18",4,3,12
2020-09-13,"MMSD-P2",37,2,137
2020-09-13,"MMSD-P7",9,1,5
2020-09-13,"MMSD-P8",8,1,7
2020-09-14,"MMSD-P11",18,12,13
2020-09-14,"MMSD-P18",17,21,4
2020-09-14,"MMSD-P2",100,141,64
2020-09-14,"MMSD-P7",7,11,1
2020-09-14,"MMSD-P8",15,21,4
2020-09-15,"MMSD-P11",21,17,12
2020-09-15,"MMSD-P18",19,14,12
2020-09-15,"MMSD-P2",84,101,30
2020-09-15,"MMSD-P7",4,7,6
2020-09-15,"MMSD-P8",11,15,5
2020-09-16,"MMSD-P11",20,18,11
2020-09-16,"MMSD-P18",16,15,16
2020-09-16,"MMSD-P2",70,79,142
2020-09-16,"MMSD-P7",5,4,13
2020-09-16,"MMSD-P8",14,12,19
2020-09-17,"MMSD-P11",23,25,22
2020-09-17,"MMSD-P18",14,17,18
2020-09-17,"MMSD-P2",57,85,101
2020-09-17,"MMSD-P7",6,7,6
2020-09-17,"MMSD-P8",17,16,18
2020-09-18,"MMSD-P11",15,20,24
2020-09-18,"MMSD-P18",16,14,16
2020-09-18,"MMSD-P2",43,56,85
2020-09-18,"MMSD-P7",6,12,3
2020-09-18,"MMSD-P8",7,5,11
2020-09-19,"MMSD-P11",13,17,17
2020-09-19,"MMSD-P18",10,12,15
2020-09-19,"MMSD-P2",24,17,72
2020-09-19,"MMSD-P7",4,5,8
2020-09-19,"MMSD-P8",9,14,15
2020-09-20,"MMSD-P11",7,1,6
2020-09-20,"MMSD-P18",11,1,3
2020-09-20,"MMSD-P2",18,2,45
2020-09-20,"MMSD-P7",7,NA,9
2020-09-20,"MMSD-P8",5,4,7
2020-09-21,"MMSD-P11",39,26,8
2020-09-21,"MMSD-P18",11,21,10
2020-09-21,"MMSD-P2",42,51,16
2020-09-21,"MMSD-P7",10,5,1
2020-09-21,"MMSD-P8",15,13,3
2020-09-22,"MMSD-P11",18,16,15
2020-09-22,"MMSD-P18",18,14,16
2020-09-22,"MMSD-P2",37,54,19
2020-09-22,"MMSD-P7",6,11,3
2020-09-22,"MMSD-P8",3,10,12
2020-09-23,"MMSD-P11",27,27,26
2020-09-23,"MMSD-P18",27,16,17
2020-09-23,"MMSD-P2",17,25,53
2020-09-23,"MMSD-P7",3,6,5
2020-09-23,"MMSD-P8",7,6,20
2020-09-24,"MMSD-P11",21,28,20
2020-09-24,"MMSD-P18",19,26,13
2020-09-24,"MMSD-P2",15,28,39
2020-09-24,"MMSD-P7",15,6,9
2020-09-24,"MMSD-P8",9,9,7
2020-09-25,"MMSD-P11",15,16,17
2020-09-25,"MMSD-P18",13,11,18
2020-09-25,"MMSD-P2",14,19,37
2020-09-25,"MMSD-P7",8,6,8
2020-09-25,"MMSD-P8",8,6,8
2020-09-26,"MMSD-P11",20,20,27
2020-09-26,"MMSD-P18",12,14,16
2020-09-26,"MMSD-P2",10,11,23
2020-09-26,"MMSD-P7",11,12,7
2020-09-26,"MMSD-P8",10,8,6
2020-09-27,"MMSD-P11",9,5,23
2020-09-27,"MMSD-P18",19,3,22
2020-09-27,"MMSD-P2",13,3,33
2020-09-27,"MMSD-P7",7,NA,9
2020-09-27,"MMSD-P8",7,2,8
2020-09-28,"MMSD-P11",36,34,18
2020-09-28,"MMSD-P18",22,31,19
2020-09-28,"MMSD-P2",26,30,15
2020-09-28,"MMSD-P7",16,19,10
2020-09-28,"MMSD-P8",17,11,9
2020-09-29,"MMSD-P11",24,18,25
2020-09-29,"MMSD-P18",15,23,10
2020-09-29,"MMSD-P2",38,24,12
2020-09-29,"MMSD-P7",10,12,12
2020-09-29,"MMSD-P8",22,14,8
2020-09-30,"MMSD-P11",18,10,22
2020-09-30,"MMSD-P18",27,17,34
2020-09-30,"MMSD-P2",21,16,39
2020-09-30,"MMSD-P7",17,15,15
2020-09-30,"MMSD-P8",4,8,6
2020-10-01,"MMSD-P11",24,24,15
2020-10-01,"MMSD-P18",26,20,13
2020-10-01,"MMSD-P2",23,22,4
2020-10-01,"MMSD-P7",6,11,9
2020-10-01,"MMSD-P8",9,11,14
2020-10-02,"MMSD-P11",18,28,9
2020-10-02,"MMSD-P18",23,18,19
2020-10-02,"MMSD-P2",19,11,20
2020-10-02,"MMSD-P7",13,6,15
2020-10-02,"MMSD-P8",8,9,7
2020-10-03,"MMSD-P11",24,23,21
2020-10-03,"MMSD-P18",16,21,14
2020-10-03,"MMSD-P2",12,15,17
2020-10-03,"MMSD-P7",11,15,8
2020-10-03,"MMSD-P8",10,14,8
2020-10-04,"MMSD-P11",7,3,14
2020-10-04,"MMSD-P18",22,5,11
2020-10-04,"MMSD-P2",11,2,7
2020-10-04,"MMSD-P7",2,2,1
2020-10-04,"MMSD-P8",4,4,7
2020-10-05,"MMSD-P11",22,19,37
2020-10-05,"MMSD-P18",30,17,31
2020-10-05,"MMSD-P2",24,25,15
2020-10-05,"MMSD-P7",14,4,15
2020-10-05,"MMSD-P8",7,6,18
2020-10-06,"MMSD-P11",34,32,12
2020-10-06,"MMSD-P18",47,54,10
2020-10-06,"MMSD-P2",33,24,13
2020-10-06,"MMSD-P7",18,15,9
2020-10-06,"MMSD-P8",18,12,6
2020-10-07,"MMSD-P11",26,28,23
2020-10-07,"MMSD-P18",42,38,23
2020-10-07,"MMSD-P2",27,38,19
2020-10-07,"MMSD-P7",21,25,4
2020-10-07,"MMSD-P8",14,13,7
2020-10-08,"MMSD-P11",29,23,29
2020-10-08,"MMSD-P18",32,46,43
2020-10-08,"MMSD-P2",23,21,23
2020-10-08,"MMSD-P7",19,19,21
2020-10-08,"MMSD-P8",10,12,7
