"Date","Site","FirstConfirmed"
2022-01-10,"Wisconsin Rapids WWTF",15
2021-01-11,"Appleton WWTF",15
2021-01-11,"Ashland Sewage Utility",1
2021-01-11,"Baraboo WWTF",3
2021-01-11,"Beloit WWTF",12
2021-01-11,"Burlington WPCC",5
2021-01-11,"Cedarburg WWTF",14
2021-01-11,"Chippewa Falls WWTF",7
2021-01-11,"Clintonville Wastewater Utility",1
2021-01-11,"De Pere WWTF",12
2021-01-11,"Eau Claire WWTF",30
2021-01-11,"Fox River WPCC",17
2021-01-11,"Grafton Water & Wastewater Utility",12
2021-01-11,"Green Bay MSD",105
2021-01-11,"Hartford WPCF",9
2021-01-11,"Hayward WPCF",1
2021-01-11,"Heart of the Valley MSD",22
2021-01-11,"Hudson WWTF",2
2021-01-11,"Janesville WW Utility",15
2021-01-11,"Kenosha WWTF",51
2021-01-11,"La Crosse WWTP",12
2021-01-11,"Lac du Flambeau Tribal Water & Sewer",2
2021-01-11,"Lake Geneva WWTP",2
2021-01-11,"Lodi WWTF",1
2021-01-11,"Madison MSD WWTF",66
2021-01-11,"Manitowoc WWTF",8
2021-01-11,"Marinette Wastewater Utility",4
2021-01-11,"Marshfield WWTF",13
2021-01-11,"Menomonie WWTF",6
2021-01-11,"Merrill WWTP",4
2021-01-11,"Milwaukee MSD Jones Island",151
2021-01-11,"Milwaukee MSD South Shore",343
2021-01-11,"Monroe WWTF",1
2021-01-11,"New Richmond WWTF",1
2021-01-11,"Oconomowoc WWTP",14
2021-01-11,"Oshkosh WWTP",9
2021-01-11,"Peshtigo WWTF",1
2021-01-11,"Plymouth Utilities WWTF",2
2021-01-11,"Port Washington WWTP",20
2021-01-11,"Portage WWTF",4
2021-01-11,"Racine Wastewater Utility",72
2021-01-11,"Rhinelander WWTP",3
2021-01-11,"Rib Lake WWTF",1
2021-01-11,"Rib Mountain MSD WWTF",23
2021-01-11,"River Falls Municipal Utility WWTF",1
2021-01-11,"Sheboygan WWTP",8
2021-01-11,"South Milwaukee WWTF",20
2021-01-11,"Sparta WWTF",4
2021-01-11,"Stevens Point WWTF",5
2021-01-11,"Sturgeon Bay Utilities WWTF",1
2021-01-11,"Sun Prairie WWTF",13
2021-01-11,"Superior WWTP",9
2021-01-11,"Washburn WWTP",1
2021-01-11,"Watertown WWTP",10
2021-01-11,"Waukesha WWTP",50
2021-01-11,"Waupaca WWTF",2
2021-01-11,"Wausau Water Works WWTF",19
2021-01-11,"Whitewater WWTF",1
2021-01-11,"Wisconsin Rapids WWTF",3
2022-01-11,"Algoma WWTF",10
2022-01-11,"Appleton WWTF",142
2022-01-11,"Ashland Sewage Utility",8
2022-01-11,"Baraboo WWTF",26
2022-01-11,"Beloit WWTF",85
2022-01-11,"Berlin WWTF",16
