"Site","Sample ID","Date","Filter","Well","N1Ct","N1","N1LOD","N2CT","N2","N2LOD","PMMOVCT","PMMOV","BCoV","HF183CT","HF183","CrPCT","CrP","Notes","...20"
"Platteville","Platteville (T) rep 1",2021-01-26,"1","2","31.11","276495","N","31.91","125976","N","24.23","13956661","6.26","26.46","692073582","29.83","106224122",NA,NA
"Platteville","Platteville (T) rep 1",2021-01-26,"1","3","32.119999999999997","145272","N","31.57","156277","N","24.63","10515684","7.74","27.57","327177362","29.59","124763876",NA,NA
"Platteville","Platteville (T) rep 2",2021-01-26,"2","1","31.94","162494","N","32.299999999999997","98297","N","24.85","8962141","3.65","26.5","675119170","29.1","174376450",NA,NA
"Platteville","Platteville (T) rep 2",2021-01-26,"2","2","31.94","162348","N","31.92","124812","N","24.82","9190273","3.11","26.28","780071889","29.36","146378353",NA,NA
"Platteville","Platteville (T) rep 2",2021-01-26,"2","3","31.27","251041","N","32.08","112486","N","25.06","7754616","3.75","26.45","697218494","29.28","154232857",NA,NA
"Platteville","Platteville (T) rep 3",2021-01-26,"3","1","31.89","168259","N","32.28","99432","N","24.77","9525475","2.97","26.46","693621319","29.92","99920900",NA,NA
"Platteville","Platteville (T) rep 3",2021-01-26,"3","2","31.53","212044","N","31.99","119266","N","24.6","10744793","2.61","26.19","828453375","28.96","191480089",NA,NA
"Platteville","Platteville (T) rep 3",2021-01-26,"3","3","32.270000000000003","131313","N","32.03","116561","N","24.86","8947109","2.9","26.86","526675923","29.2","162740689",NA,NA
"Platteville","Platteville (W) rep 1",2021-01-27,"1","1","31.9","167254","N","31.3","185721","N","24.81","9219321","2.16","26.38","728911468","30.12","86934330",NA,NA
"Platteville","Platteville (W) rep 1",2021-01-27,"1","2","31.12","276136","N","31.94","123196","N","24.53","11258392","2.1","26.45","696738570","28.86","205281816",NA,NA
"Platteville","Platteville (W) rep 1",2021-01-27,"1","3","31.29","246991","N","31.74","140069","N","24.77","9512608","2.42","26.67","601844306","29.22","160570309",NA,NA
"Platteville","Platteville (W) rep 2",2021-01-27,"2","1","31.17","267012","N","31.63","150274","N","25.01","8021046","4.84","26.04","917741146","30.36","74073216",NA,NA
"Platteville","Platteville (W) rep 2",2021-01-27,"2","2","31.16","268655","N","31.53","160200","N","24.7","9974102","5.47","26.9","514241055","29.19","164126895",NA,NA
"Platteville","Platteville (W) rep 2",2021-01-27,"2","3","31.89","167702","N","31.85","130906","N","24.95","8351316","5.9","26.58","639541433","29.62","122559048",NA,NA
"Platteville","Platteville (W) rep 3",2021-01-27,"3","1","34.85","25212","Y","34.76","20360","Y","25.33","6398322","0.63","27.49","343870293","30.65","60939285",NA,NA
"Platteville","Platteville (W) rep 3",2021-01-27,"3","2","33.9","46356","N","34.61","22369","Y","25.23","6866177","0.74","27.49","344879879","29.92","100009682",NA,NA
"Platteville","Platteville (W) rep 3",2021-01-27,"3","3","33.56","57446","N","35.619999999999997","11769","Y","25.66","5076629","0.71","27.29","394141495","30.21","81701893",NA,NA
"Madison","MMSD rep 1",2021-01-27,"1","1","28.95","1109981","N","28.02","1516942","N","23.69","27721715","0.98","25.48","1345042224","28.89","201364996",NA,NA
"Madison","MMSD rep 1",2021-01-27,"1","2","28.16","1847123","N","27.76","1786804","N","23.46","32719522","1.18","25.6","1236761059","29.19","164239926",NA,NA
"Madison","MMSD rep 1",2021-01-27,"1","3","28.43","1549280","N","28.19","1356373","N","23.84","24752850","0.89","26.01","941901651","29.68","117951207",NA,NA
"Madison","MMSD rep 2",2021-01-27,"2","1","28.89","1153102","N","28.53","1093064","N","23.37","34842193","1.49","25.68","1171693410","28.97","190655413",NA,NA
"Madison","MMSD rep 2",2021-01-27,"2","2","28.73","1278482","N","28.32","1250917","N","23.39","34406708","1.62","26.13","864794410","28.66","234841788",NA,NA
"Madison","MMSD rep 2",2021-01-27,"2","3","28.83","1198630","N","28.61","1035590","N","23.82","25234025","1.5","25.85","1044415875","29.47","136070033",NA,NA
"Madison","MMSD rep 3",2021-01-27,"3","1","28.59","1395313","N","27.97","1559159","N","23.43","33483351","3.55","25.04","1808323449","28.86","205492177",NA,NA
"Madison","MMSD rep 3",2021-01-27,"3","2","28.6","1389019","N","28.4","1183848","N","23.41","33912067","3.44","25.73","1137872103","28.6","245705670",NA,NA
"Madison","MMSD rep 3",2021-01-27,"3","3","28.71","1295029","N","28.48","1124391","N","23.9","23846992","3.89","25.22","1598587659","28.9","199931277",NA,NA
"Madison","MMSD rep 1",2021-01-28,"1","1","30.93","311896","N","30.35","341459","N","23.1","42446195","3.34","25.4","1417885961","29.13","171215906",NA,NA
"Madison","MMSD rep 1",2021-01-28,"1","2","30.77","344285","N","30.04","416532","N","22.96","46983833","3.45","25.37","1446364808","28.19","324607028",NA,NA
"Madison","MMSD rep 1",2021-01-28,"1","3","31.13","274253","N","30.58","294292","N","23.27","37611596","3.05","25.62","1225399539","28.68","231644104",NA,NA
"Madison","MMSD rep 2",2021-01-28,"2","1","31.77","181434","N","31.36","179001","N","23.35","35338940","2.2400000000000002","25.57","1265887590","29.42","140715176",NA,NA
"Madison","MMSD rep 2",2021-01-28,"2","2","31.86","171282","N","31.12","209099","N","23.04","44323644","2.46","25.9","1012191382","28.3","300400190",NA,NA
"Madison","MMSD rep 2",2021-01-28,"2","3","31.93","164296","N","31.51","162485","N","23.57","30159392","2.56","25.63","1213961731","28.65","236796633",NA,NA
"Madison","MMSD rep 3",2021-01-28,"3","1","31.65","195908","N","31.01","223863","N","22.8","52851230","1.49","25.55","1278907047","28.5","262604601",NA,NA
"Madison","MMSD rep 3",2021-01-28,"3","2","32.159999999999997","141265","N","31.25","191700","N","22.99","46088326","1.42","25.67","1180478673","29.05","180970114",NA,NA
"Madison","MMSD rep 3",2021-01-28,"3","3","30.99","300002","N","30.2","374392","N","23.36","35274614","1.58","25.26","1555295317","28.96","191693588",NA,NA
