"Date","Cases","Tests","Population","Site","Per_pos"
2020-05-24,0,101,130799,"MMSD-P11",0
2020-05-25,1,211,130799,"MMSD-P11",0.4739336492891
2020-05-26,9,498,130799,"MMSD-P11",1.80722891566265
2020-05-27,9,302,130799,"MMSD-P11",2.98013245033113
2020-05-28,4,337,130799,"MMSD-P11",1.18694362017804
2020-05-29,11,360,130799,"MMSD-P11",3.05555555555556
2020-05-30,7,189,130799,"MMSD-P11",3.7037037037037
2020-05-31,3,228,130799,"MMSD-P11",1.31578947368421
2020-06-01,1,61,130799,"MMSD-P11",1.63934426229508
2020-06-02,1,152,130799,"MMSD-P11",0.657894736842105
2020-06-03,8,260,130799,"MMSD-P11",3.07692307692308
2020-06-04,3,413,130799,"MMSD-P11",0.726392251815981
2020-06-05,1,329,130799,"MMSD-P11",0.303951367781155
2020-06-06,2,160,130799,"MMSD-P11",1.25
2020-06-07,8,94,130799,"MMSD-P11",8.51063829787234
2020-06-08,4,187,130799,"MMSD-P11",2.13903743315508
2020-06-09,3,357,130799,"MMSD-P11",0.840336134453782
2020-06-10,4,282,130799,"MMSD-P11",1.41843971631206
2020-06-11,9,141,130799,"MMSD-P11",6.38297872340426
2020-06-12,8,309,130799,"MMSD-P11",2.58899676375405
2020-06-13,3,222,130799,"MMSD-P11",1.35135135135135
2020-06-14,5,141,130799,"MMSD-P11",3.54609929078014
2020-06-15,5,88,130799,"MMSD-P11",5.68181818181818
2020-06-16,4,467,130799,"MMSD-P11",0.856531049250535
2020-06-17,6,275,130799,"MMSD-P11",2.18181818181818
2020-06-18,5,290,130799,"MMSD-P11",1.72413793103448
2020-06-19,7,279,130799,"MMSD-P11",2.5089605734767
2020-06-20,7,205,130799,"MMSD-P11",3.41463414634146
2020-06-21,10,72,130799,"MMSD-P11",13.8888888888889
2020-06-22,11,159,130799,"MMSD-P11",6.91823899371069
2020-06-23,10,443,130799,"MMSD-P11",2.25733634311512
2020-06-24,18,305,130799,"MMSD-P11",5.9016393442623
2020-06-25,10,413,130799,"MMSD-P11",2.42130750605327
2020-06-26,21,315,130799,"MMSD-P11",6.66666666666667
2020-06-27,19,178,130799,"MMSD-P11",10.6741573033708
2020-06-28,23,23,130799,"MMSD-P11",100
2020-06-29,17,49,130799,"MMSD-P11",34.6938775510204
2020-06-30,38,337,130799,"MMSD-P11",11.2759643916914
2020-07-01,22,290,130799,"MMSD-P11",7.58620689655172
2020-07-02,18,759,130799,"MMSD-P11",2.37154150197628
2020-07-03,20,491,130799,"MMSD-P11",4.07331975560081
2020-07-04,20,183,130799,"MMSD-P11",10.9289617486339
2020-07-05,19,20,130799,"MMSD-P11",95
2020-07-06,29,175,130799,"MMSD-P11",16.5714285714286
2020-07-07,12,555,130799,"MMSD-P11",2.16216216216216
2020-07-08,15,519,130799,"MMSD-P11",2.89017341040462
2020-07-09,17,834,130799,"MMSD-P11",2.03836930455636
2020-07-10,13,556,130799,"MMSD-P11",2.33812949640288
2020-07-11,25,261,130799,"MMSD-P11",9.57854406130268
2020-07-12,28,190,130799,"MMSD-P11",14.7368421052632
2020-07-13,22,99,130799,"MMSD-P11",22.2222222222222
2020-07-14,33,638,130799,"MMSD-P11",5.17241379310345
2020-07-15,31,498,130799,"MMSD-P11",6.22489959839357
2020-07-16,17,612,130799,"MMSD-P11",2.77777777777778
2020-07-17,16,560,130799,"MMSD-P11",2.85714285714286
2020-07-18,13,136,130799,"MMSD-P11",9.55882352941176
2020-07-19,14,168,130799,"MMSD-P11",8.33333333333333
2020-07-20,17,97,130799,"MMSD-P11",17.5257731958763
2020-07-21,11,406,130799,"MMSD-P11",2.70935960591133
2020-07-22,15,514,130799,"MMSD-P11",2.91828793774319
2020-07-23,11,454,130799,"MMSD-P11",2.42290748898678
2020-07-24,11,657,130799,"MMSD-P11",1.67427701674277
2020-07-25,12,470,130799,"MMSD-P11",2.5531914893617
2020-07-26,7,243,130799,"MMSD-P11",2.88065843621399
2020-07-27,21,122,130799,"MMSD-P11",17.2131147540984
2020-07-28,14,687,130799,"MMSD-P11",2.03784570596798
2020-07-29,11,612,130799,"MMSD-P11",1.79738562091503
2020-07-30,14,689,130799,"MMSD-P11",2.03193033381713
2020-07-31,25,432,130799,"MMSD-P11",5.78703703703704
2020-08-01,11,437,130799,"MMSD-P11",2.51716247139588
2020-08-02,30,363,130799,"MMSD-P11",8.26446280991735
2020-08-03,8,192,130799,"MMSD-P11",4.16666666666667
2020-08-04,7,737,130799,"MMSD-P11",0.949796472184532
2020-08-05,33,747,130799,"MMSD-P11",4.41767068273092
2020-08-06,12,523,130799,"MMSD-P11",2.29445506692161
2020-08-07,21,398,130799,"MMSD-P11",5.27638190954774
2020-08-08,16,268,130799,"MMSD-P11",5.97014925373134
2020-08-09,5,297,130799,"MMSD-P11",1.68350168350168
2020-08-10,0,444,130799,"MMSD-P11",0
2020-08-11,7,451,130799,"MMSD-P11",1.55210643015521
2020-08-12,14,377,130799,"MMSD-P11",3.71352785145889
2020-08-13,8,405,130799,"MMSD-P11",1.97530864197531
2020-08-14,25,170,130799,"MMSD-P11",14.7058823529412
2020-08-15,13,277,130799,"MMSD-P11",4.69314079422383
2020-08-16,10,81,130799,"MMSD-P11",12.3456790123457
2020-08-17,4,216,130799,"MMSD-P11",1.85185185185185
2020-08-18,2,399,130799,"MMSD-P11",0.50125313283208
2020-08-19,5,393,130799,"MMSD-P11",1.27226463104326
2020-08-20,2,245,130799,"MMSD-P11",0.816326530612245
2020-08-21,13,225,130799,"MMSD-P11",5.77777777777778
2020-08-22,19,125,130799,"MMSD-P11",15.2
2020-08-23,7,147,130799,"MMSD-P11",4.76190476190476
2020-08-24,5,162,130799,"MMSD-P11",3.08641975308642
2020-08-25,11,322,130799,"MMSD-P11",3.41614906832298
2020-08-26,6,267,130799,"MMSD-P11",2.24719101123596
2020-08-27,16,409,130799,"MMSD-P11",3.9119804400978
2020-08-28,8,189,130799,"MMSD-P11",4.23280423280423
2020-08-29,12,302,130799,"MMSD-P11",3.97350993377483
2020-08-30,3,139,130799,"MMSD-P11",2.15827338129496
2020-08-31,0,187,130799,"MMSD-P11",0
2020-09-01,17,168,130799,"MMSD-P11",10.1190476190476
2020-09-02,7,270,130799,"MMSD-P11",2.59259259259259
2020-09-03,11,183,130799,"MMSD-P11",6.01092896174863
2020-09-04,17,122,130799,"MMSD-P11",13.9344262295082
2020-09-05,10,135,130799,"MMSD-P11",7.40740740740741
2020-09-06,10,141,130799,"MMSD-P11",7.09219858156028
2020-09-07,9,199,130799,"MMSD-P11",4.52261306532663
2020-09-08,7,28,130799,"MMSD-P11",25
2020-09-09,4,130,130799,"MMSD-P11",3.07692307692308
2020-09-10,23,166,130799,"MMSD-P11",13.855421686747
2020-09-11,17,56,130799,"MMSD-P11",30.3571428571429
2020-09-12,14,141,130799,"MMSD-P11",9.9290780141844
2020-09-13,24,139,130799,"MMSD-P11",17.2661870503597
2020-09-14,13,44,130799,"MMSD-P11",29.5454545454545
2020-09-15,5,300,130799,"MMSD-P11",1.66666666666667
2020-09-16,13,266,130799,"MMSD-P11",4.88721804511278
2020-09-17,15,555,130799,"MMSD-P11",2.7027027027027
2020-09-18,27,474,130799,"MMSD-P11",5.69620253164557
2020-09-19,27,445,130799,"MMSD-P11",6.06741573033708
2020-09-20,23,278,130799,"MMSD-P11",8.27338129496403
2020-09-21,7,280,130799,"MMSD-P11",2.5
2020-09-22,18,653,130799,"MMSD-P11",2.75650842266462
2020-09-23,21,310,130799,"MMSD-P11",6.7741935483871
2020-09-24,32,289,130799,"MMSD-P11",11.0726643598616
2020-09-25,28,398,130799,"MMSD-P11",7.03517587939699
2020-09-26,30,183,130799,"MMSD-P11",16.3934426229508
2020-09-27,34,182,130799,"MMSD-P11",18.6813186813187
2020-09-28,28,181,130799,"MMSD-P11",15.4696132596685
2020-09-29,27,276,130799,"MMSD-P11",9.78260869565217
2020-09-30,29,261,130799,"MMSD-P11",11.1111111111111
2020-10-01,26,321,130799,"MMSD-P11",8.09968847352025
2020-10-02,21,246,130799,"MMSD-P11",8.53658536585366
2020-10-03,18,208,130799,"MMSD-P11",8.65384615384615
2020-10-04,29,48,130799,"MMSD-P11",60.4166666666667
2020-10-05,18,141,130799,"MMSD-P11",12.7659574468085
2020-10-06,49,384,130799,"MMSD-P11",12.7604166666667
2020-10-07,21,334,130799,"MMSD-P11",6.2874251497006
2020-10-08,34,479,130799,"MMSD-P11",7.09812108559499
2020-10-09,43,434,130799,"MMSD-P11",9.90783410138249
2020-10-10,34,268,130799,"MMSD-P11",12.6865671641791
