"","Date","Site","N1RankLeft","N1RankRight","N2RankLeft","N2RankRight"
"180",2021-02-23,"Madison",206,95,182,82
"181",2021-02-24,"Madison",296,219,311,269
"182",2021-02-25,"Madison",172,214,124,169
"183",2021-02-25,"MMSD-P2",28,96,17,76
"184",2021-02-25,"MMSD-P7",75,88,67,82
"185",2021-02-25,"MMSD-P8",69,62,56,64
"186",2021-02-25,"MMSD-P11",59,71,50,57
"187",2021-02-25,"MMSD-P18",88,10,80,11
"188",2021-02-28,"Madison",177,115,224,98
"189",2021-03-01,"Madison",276,296,295,315
"190",2021-03-01,"MMSD-P2",7,8,20,16
"191",2021-03-01,"MMSD-P7",14,68,15,64
"192",2021-03-01,"MMSD-P8",34,58,34,31
"193",2021-03-01,"MMSD-P11",30,23,38,26
"194",2021-03-01,"MMSD-P18",95,91,94,81
"195",2021-03-02,"Madison",95,118,78,127
"196",2021-03-03,"Madison",273,218,266,131
"197",2021-03-04,"MMSD-P18",14,78,24,89
"198",2021-03-04,"MMSD-P7",34,46,33,52
"199",2021-03-04,"MMSD-P2",95,95,80,78
"200",2021-03-04,"Madison",173,297,262,313
"201",2021-03-04,"MMSD-P8",38,24,67,62
"202",2021-03-04,"MMSD-P11",78,77,69,75
"203",2021-03-05,"Madison",94,186,80,147
"204",2021-03-07,"Madison",205,206,246,243
"205",2021-03-08,"Madison",185,255,150,260
"206",2021-03-08,"MMSD-P2",8,17,18,22
"207",2021-03-08,"MMSD-P7",56,62,45,48
"208",2021-03-08,"MMSD-P8",72,77,36,40
"209",2021-03-08,"MMSD-P11",24,50,20,53
"210",2021-03-08,"MMSD-P18",27,55,16,42
"211",2021-03-09,"Madison",136,101,133,90
"212",2021-03-10,"Madison",290,319,303,322
"213",2021-03-11,"MMSD-P2",86,93,74,81
"214",2021-03-11,"MMSD-P7",40,64,49,53
"215",2021-03-11,"MMSD-P8",19,54,58,69
"216",2021-03-11,"MMSD-P11",51,57,42,40
"217",2021-03-11,"MMSD-P18",50,58,63,64
"218",2021-03-11,"Madison",72,122,71,151
"219",2021-03-12,"Madison",269,237,242,165
"220",2021-03-14,"Madison",154,149,228,199
"221",2021-03-15,"Madison",242,235,194,242
"222",2021-03-15,"MMSD-P18",47,36,41,24
"223",2021-03-15,"MMSD-P2",10,30,15,30
"224",2021-03-15,"MMSD-P7",38,34,44,36
"225",2021-03-15,"MMSD-P8",42,36,29,30
"226",2021-03-15,"MMSD-P11",44,29,55,27
"227",2021-03-16,"Madison",156,81,151,44
"228",2021-03-17,"Madison",310,224,349,288
"229",2021-03-18,"MMSD-P2",73,69,66,69
"230",2021-03-18,"MMSD-P7",68,59,61,39
"231",2021-03-18,"MMSD-P8",60,43,68,50
"232",2021-03-18,"MMSD-P11",72,62,68,67
"233",2021-03-18,"MMSD-P18",69,81,81,82
"234",2021-03-18,"Madison",167,309,105,320
"235",2021-03-19,"Madison",82,48,73,87
"236",2021-03-21,"Madison",343,269,306,198
"237",2021-03-22,"Madison",122,92,195,79
"238",2021-03-22,"MMSD-P2",34,41,27,37
"239",2021-03-22,"MMSD-P7",43,50,58,59
"240",2021-03-22,"MMSD-P8",53,69,48,70
"241",2021-03-22,"MMSD-P11",39,73,28,95
"242",2021-03-22,"MMSD-P18",24,16,23,22
"243",2021-03-23,"Madison",299,318,314,328
"244",2021-03-24,"Madison",73,277,65,133
"245",2021-03-25,"Madison",114,65,260,65
"246",2021-03-25,"MMSD-P2",62,43,59,38
"247",2021-03-25,"MMSD-P7",52,66,38,65
"248",2021-03-25,"MMSD-P8",27,34,28,26
"249",2021-03-25,"MMSD-P11",28,31,96,96
"250",2021-03-25,"MMSD-P18",89,11,83,15
"251",2021-03-26,"Madison",326,239,328,289
"252",2021-03-28,"Madison",152,244,104,183
"253",2021-03-29,"Madison",147,99,210,134
"254",2021-03-29,"MMSD-P2",60,71,58,70
"255",2021-03-29,"MMSD-P7",36,35,32,35
"256",2021-03-29,"MMSD-P8",62,53,72,66
"257",2021-03-29,"MMSD-P11",70,52,97,42
"258",2021-03-29,"MMSD-P18",94,96,90,90
"259",2021-03-30,"Madison",292,340,259,332
"260",2021-03-31,"Madison",51,117,61,99
"261",2021-04-01,"Madison",274,128,294,220
"262",2021-04-01,"MMSD-P2",32,27,26,21
"263",2021-04-01,"MMSD-P7",67,65,62,40
"264",2021-04-01,"MMSD-P8",43,61,32,67
"265",2021-04-01,"MMSD-P11",49,60,53,43
"266",2021-04-01,"MMSD-P18",9,13,15,14
"267",2021-04-02,"Madison",263,280,173,274
"268",2021-04-05,"Madison",111,163,119,223
"269",2021-04-05,"MMSD-P7",37,24,57,31
"270",2021-04-05,"MMSD-P2",76,72,75,71
"271",2021-04-05,"MMSD-P18",92,86,91,88
"272",2021-04-05,"MMSD-P11",41,69,52,51
"273",2021-04-05,"MMSD-P8",35,38,31,48
"274",2021-04-06,"Madison",228,281,170,249
"275",2021-04-07,"Madison",110,126,144,148
"276",2021-04-08,"Madison",265,230,245,235
"277",2021-04-08,"MMSD-P2",31,64,25,63
"278",2021-04-08,"MMSD-P7",78,80,66,68
"279",2021-04-08,"MMSD-P8",58,66,50,54
"280",2021-04-08,"MMSD-P11",32,54,44,63
"281",2021-04-08,"MMSD-P18",19,54,17,52
"282",2021-04-09,"Madison",161,204,158,210
"283",2021-04-11,"Madison",187,200,183,200
"284",2021-04-12,"Madison",191,211,193,226
"285",2021-04-12,"MMSD-P2",39,40,33,39
"286",2021-04-12,"MMSD-P7",22,40,29,44
"287",2021-04-12,"MMSD-P8",30,31,44,29
"288",2021-04-12,"MMSD-P11",47,17,32,20
"289",2021-04-12,"MMSD-P18",51,74,53,74
"290",2021-04-13,"Madison",180,88,167,118
"291",2021-04-14,"Madison",303,15,275,13
"292",2021-04-15,"Madison",376,376,380,380
"293",2021-04-15,"MMSD-P2",63,55,57,55
"294",2021-04-15,"MMSD-P8",65,11,69,10
"295",2021-04-15,"MMSD-P11",84,76,75,68
"296",2021-04-16,"Madison",15,167,13,156
"297",2021-04-18,"Madison",224,165,237,162
"298",2021-04-19,"MMSD-P2",48,59,41,44
"299",2021-04-19,"MMSD-P7",62,39,53,25
"300",2021-04-19,"MMSD-P8",85,90,88,91
"301",2021-04-19,"MMSD-P11",25,61,27,54
"302",2021-04-19,"Madison",226,234,231,257
"303",2021-04-20,"Madison",157,222,136,172
"304",2021-04-21,"Madison",169,275,221,290
"305",2021-04-22,"Madison",116,58,103,50
"306",2021-04-22,"MMSD-P2",44,35,52,36
"307",2021-04-22,"MMSD-P7",63,29,72,62
"308",2021-04-22,"MMSD-P8",6,13,7,14
"309",2021-04-22,"MMSD-P11",40,20,41,29
"310",2021-04-22,"MMSD-P18",31,3,31,2
"311",2021-04-23,"Madison",333,72,343,34
"312",2021-04-25,"Madison",319,17,359,69
"313",2021-04-26,"Madison",374,365,324,258
"314",2021-04-26,"MMSD-P18",102,102,103,102
"315",2021-04-26,"MMSD-P11",81,81,66,71
"316",2021-04-26,"MMSD-P8",83,84,84,88
"317",2021-04-26,"MMSD-P7",73,102,35,97
"318",2021-04-26,"MMSD-P2",68,73,60,68
"319",2021-04-27,"Madison",26,360,135,372
"320",2021-04-28,"Madison",31,87,21,68
"321",2021-04-29,"Madison",304,52,325,32
"322",2021-04-29,"MMSD-P2",30,24,28,26
"323",2021-04-29,"MMSD-P7",103,103,98,98
"324",2021-04-29,"MMSD-P8",12,63,10,61
"325",2021-04-29,"MMSD-P11",20,24,24,17
"326",2021-04-29,"MMSD-P18",3,19,3,10
"327",2021-04-30,"Madison",339,12,361,11
"328",2021-05-02,"Madison",379,382,382,383
"329",2021-05-03,"Madison",9,270,10,222
"330",2021-05-03,"MMSD-P2",79,74,70,77
"331",2021-05-03,"MMSD-P7",104,67,99,67
"332",2021-05-03,"MMSD-P8",33,29,37,27
"333",2021-05-03,"MMSD-P11",77,78,78,83
"334",2021-05-03,"MMSD-P18",86,84,95,92
"335",2021-05-04,"Madison",121,168,171,359
"336",2021-05-05,"Madison",223,301,34,284
"337",2021-05-06,"Madison",90,136,109,130
"338",2021-05-06,"MMSD-P2",29,45,19,41
"339",2021-05-06,"MMSD-P7",35,22,30,21
"340",2021-05-06,"MMSD-P8",67,64,71,68
"341",2021-05-06,"MMSD-P11",23,18,12,14
"342",2021-05-06,"MMSD-P18",21,65,13,59
"343",2021-05-07,"Madison",255,151,263,179
"344",2021-05-09,"Madison",240,273,214,122
"345",2021-05-10,"Madison",118,171,271,213
"346",2021-05-10,"MMSD-P2",58,67,55,54
"347",2021-05-10,"MMSD-P7",80,81,76,72
"348",2021-05-10,"MMSD-P8",32,67,30,65
"349",2021-05-10,"MMSD-P11",83,84,81,81
"350",2021-05-10,"MMSD-P18",40,25,46,29
"351",2021-05-11,"Madison",220,160,180,263
"352",2021-05-12,"Madison",231,164,130,261
"353",2021-05-13,"Madison",227,37,132,25
"354",2021-05-13,"MMSD-P18",80,87,76,84
"355",2021-05-13,"MMSD-P11",17,51,14,41
"356",2021-05-13,"MMSD-P8",29,45,33,53
"357",2021-05-13,"MMSD-P7",21,57,25,66
"358",2021-05-13,"MMSD-P2",36,29,42,28
"359",2021-05-14,"Madison",354,359,368,365
"360",2021-05-16,"Madison",32,231,28,277
"361",2021-05-17,"MMSD-P18",18,2,21,3
"362",2021-05-17,"MMSD-P11",50,55,54,37
"363",2021-05-17,"MMSD-P8",51,44,45,39
"364",2021-05-17,"MMSD-P7",45,43,31,28
"365",2021-05-17,"MMSD-P2",74,6,68,6
"366",2021-05-17,"Madison",160,91,116,228
"367",2021-05-18,"Madison",300,195,165,96
"368",2021-05-19,"Madison",196,75,297,60
"369",2021-05-20,"Madison",316,347,333,352
"370",2021-05-20,"MMSD-P2",97,98,90,97
"371",2021-05-20,"MMSD-P7",59,79,69,99
"372",2021-05-20,"MMSD-P8",52,48,59,41
"373",2021-05-20,"MMSD-P11",46,48,58,52
"374",2021-05-20,"MMSD-P18",103,104,102,103
"375",2021-05-21,"Madison",44,176,41,139
"376",2021-05-23,"Madison",215,130,254,193
"377",2021-05-24,"Madison",261,264,200,268
"378",2021-05-24,"MMSD-P2",5,58,98,98
"379",2021-05-24,"MMSD-P7",23,44,100,100
"380",2021-05-24,"MMSD-P8",48,55,57,59
"381",2021-05-24,"MMSD-P11",53,101,43,97
"382",2021-05-24,"MMSD-P18",1,8,2,9
"383",2021-05-25,"Madison",127,125,125,119
"384",2021-05-26,"Madison",266,189,274,171
"385",2021-05-27,"MMSD-P18",97,98,96,97
"386",2021-05-27,"MMSD-P11",102,102,98,98
"387",2021-05-27,"MMSD-P8",41,28,39,32
"388",2021-05-27,"MMSD-P7",58,55,101,101
"389",2021-05-27,"MMSD-P2",45,47,99,48
"390",2021-05-27,"Madison",202,51,222,30
"391",2021-05-28,"Madison",340,337,363,368
"392",2021-05-30,"Madison",54,86,25,78
"393",2021-05-31,"Madison",305,104,315,103
"394",2021-05-31,"MMSD-P2",56,53,48,99
"395",2021-05-31,"MMSD-P7",47,41,102,102
"396",2021-05-31,"MMSD-P8",68,96,66,98
"397",2021-05-31,"MMSD-P11",103,32,99,99
"398",2021-05-31,"MMSD-P18",7,47,8,65
