"","Date","Site","N1RankLeft","N1RankRight","N2RankLeft","N2RankRight","N1","N2","MaxN1Rank"
"228",2021-06-17,"MMSD-P7",95,50,93,51,11054,9283,-95
"229",2021-06-21,"MMSD-P2",61,58,60,56,0,0,-61
"230",2021-06-21,"MMSD-P7",56,55,55,61,9027,8639,-61
"231",2021-06-21,"MMSD-P8",47,69,41,56,7867,8251,-69
"232",2021-06-21,"MMSD-P11",42,66,47.5,73,17598,0,-73
"233",2021-06-21,"MMSD-P18",67,44,60,39,94675,130674,-67
"234",2021-06-24,"MMSD-P2",50,55,52,51,5225,7208,-55
"235",2021-06-24,"MMSD-P7",51,46,45,41,10971,21913,-51
"236",2021-06-24,"MMSD-P8",38,29,51,45,32877,9898,-51
"237",2021-06-24,"MMSD-P11",39,34,32,31,36932,42644,-39
"238",2021-06-24,"MMSD-P18",61,77,66,62,64978,97880,-77
"239",2021-06-28,"MMSD-P2",53,62,57,47,8241,7513,-62
"240",2021-06-28,"MMSD-P7",60,59,65,46,7152,10680,-65
"241",2021-06-28,"MMSD-P8",78,52,62,51,0,6515,-78
"242",2021-06-28,"MMSD-P11",71,67,74,64,4306,5215,-74
"243",2021-06-28,"MMSD-P18",28,25,43,29,173376,156112,-43
"244",2021-07-01,"MMSD-P2",46,48,61,60,20232,0,-61
"245",2021-07-01,"MMSD-P7",47,68,60,59,11598,5899,-68
"246",2021-07-01,"MMSD-P8",55,52,56,42,0,5896,-56
"247",2021-07-01,"MMSD-P11",38,37,41,55,25111,15991,-55
"248",2021-07-01,"MMSD-P18",80,62,76,60,46830,32412,-80
"249",2021-07-05,"MMSD-P2",60,53,48,46,12847,14483,-60
"250",2021-07-05,"MMSD-P7",38,32,47,45,33710,16466,-47
"251",2021-07-05,"MMSD-P8",55,52,65,53,0,0,-65
"252",2021-07-05,"MMSD-P11",68,56,50,53,4807,13960,-68
"253",2021-07-05,"MMSD-P18",43,45,45,48,94769,82863,-48
"254",2021-07-08,"MMSD-P2",55,56,62,59,11798,6017,-62
"255",2021-07-08,"MMSD-P7",74,53,61,47,10708,10335,-74
"256",2021-07-08,"MMSD-P8",55,62,54,64,0,0,-64
"257",2021-07-08,"MMSD-P11",49,50,52,43,7480,10989,-52
"258",2021-07-08,"MMSD-P18",60,74,57,68,77995,84711,-74
"259",2021-07-12,"MMSD-P18",31,23,37,27,164715,160002,-37
"260",2021-07-12,"MMSD-P11",55,45,62,63,7945,0,-63
"261",2021-07-12,"MMSD-P8",45,54,43,47,10793,8100,-54
"262",2021-07-12,"MMSD-P7",53,48,59,56,10242,6182,-59
"263",2021-07-12,"MMSD-P2",52,49,49,52,16309,19165,-52
"264",2021-07-15,"MMSD-P2",59,54,56,40,9084,20105,-59
"265",2021-07-15,"MMSD-P7",58,71,50,50,7634,13677,-71
"266",2021-07-15,"MMSD-P8",53,65,60,68,12156,5196,-68
"267",2021-07-15,"MMSD-P11",60,61,42,52,3979,6856,-61
"268",2021-07-15,"MMSD-P18",82,61,78,66,21929,13277,-82
"269",2021-07-19,"MMSD-P18",44,98,39,93,66857,85523,-98
"270",2021-07-19,"MMSD-P11",44,60,53,71,15468,3804,-71
"271",2021-07-19,"MMSD-P8",42,41,39,60,29755,14495,-60
"272",2021-07-19,"MMSD-P7",35,41,56,60,35016,12960,-60
"273",2021-07-19,"MMSD-P2",54,68,68,72,10939,0,-72
"274",2021-07-22,"MMSD-P2",40,73,36,70,40999,48434,-73
"275",2021-07-22,"MMSD-P7",65,51,46,43,24240,25981,-65
"276",2021-07-22,"MMSD-P8",66,44,47,46,20382,21015,-66
"277",2021-07-22,"MMSD-P11",45,69,34,72,22830,24958,-72
"278",2021-07-22,"MMSD-P18",7,8,12,14,578837,426064,-14
"279",2021-07-26,"MMSD-P7",55,86,63,91,22234,18735,-91
"280",2021-07-26,"MMSD-P2",35,87,38,88,87920,86185,-88
"281",2021-07-26,"MMSD-P8",63,98,61,94,14820,17825,-98
"282",2021-07-26,"MMSD-P18",97,49,91,67,96259,65563,-97
"283",2021-07-26,"MMSD-P11",36,54,33,48,56082,57844,-54
"284",2021-07-29,"MMSD-P2",21,25,20,33,194537,216315,-33
