"","Date", "Site", "N1RankLeft", "N1RankRight", "N2RankLeft", "N2RankRight", "N1", "N2", "MaxN1Rank"
"138",2021-04-15,"MMSD-P8",229,412,249,399,60518,54023,-412
"139",2021-04-15,"MMSD-P11",119,103,132,120,157424,126684,-132
"140",2021-04-19,"MMSD-P2",428,329,411,341,43766,33578,-428
"141",2021-04-19,"MMSD-P7",202,458,190,475,67391,67430,-475
"142",2021-04-19,"MMSD-P8",73,77,56,68,246023,271594,-77
"143",2021-04-19,"MMSD-P11",454,167,463,185,73487,78662,-463
"144",2021-04-22,"MMSD-P2",364,375,346,418,30641,48703,-418
"145",2021-04-22,"MMSD-P7",156,159,113,107,84980,137991,-159
"146",2021-04-22,"MMSD-P8",372,337,424,353,31792,27529,-424
"147",2021-04-22,"MMSD-P11",194,189,178,203,60726,67859,-203
"148",2021-04-22,"MMSD-P18",342,525,328,525,30603,44482,-525
"149",2021-04-26,"MMSD-P18",6,5,6,5,1761146,2270206,-6
"150",2021-04-26,"MMSD-P11",526,294,526,400,173731,121556,-526
"151",2021-04-26,"MMSD-P8",237,178,131,129,181856,194280,-237
"152",2021-04-26,"MMSD-P7",353,131,402,198,145908,109214,-402
"153",2021-04-26,"MMSD-P2",400,165,333,162,66599,84380,-400
"154",2021-04-29,"MMSD-P2",366,208,369,184,19439,33031,-369
"155",2021-04-29,"MMSD-P7",323,338,347,324,0,0,-347
"156",2021-04-29,"MMSD-P8",193,306,207,340,29385,24957,-340
"157",2021-04-29,"MMSD-P11",225,456,191,446,43437,58513,-456
"158",2021-04-29,"MMSD-P18",75,100,85,127,215296,200155,-127
"159",2021-05-03,"MMSD-P2",431,163,404,156,89840,111401,-431
"160",2021-05-03,"MMSD-P7",368,192,375,177,41135,52824,-375
"161",2021-05-03,"MMSD-P8",339,436,354,457,11622,14736,-457
"162",2021-05-03,"MMSD-P11",95,485,74,497,141403,175655,-497
"163",2021-05-03,"MMSD-P18",46,37,34,21,389772,571906,-46
"164",2021-05-06,"MMSD-P2",494,223,510,277,38159,10637,-510
