"","Date","Plant","Filter","Well","Type","name","value"
"139","2021-01-27","Kenosha",1,2,"Normal","N1GC",19645.5377169024
"140","2021-01-27","Kenosha",1,2,"Normal","N2GC",24270.1149188423
"141","2021-01-27","Kenosha",1,2,"Normal","PMMOVGC",5472210.04085873
"142","2021-01-27","Kenosha",1,3,"Normal","N1GC",11953.9548861773
"143","2021-01-27","Kenosha",1,3,"Normal","N2GC",21522.4589985718
"144","2021-01-27","Kenosha",1,3,"Normal","PMMOVGC",6476763.22648692
"145","2021-01-27","Kenosha",2,1,"Normal","N1GC",2488.52924135218
"146","2021-01-27","Kenosha",2,1,"Normal","N2GC",9854.81998943473
"147","2021-01-27","Kenosha",2,1,"Normal","PMMOVGC",3371203.25647976
"148","2021-01-27","Kenosha",2,2,"Normal","N1GC",5896.69399193882
"149","2021-01-27","Kenosha",2,2,"Normal","N2GC",4824.40116412331
"150","2021-01-27","Kenosha",2,2,"Normal","PMMOVGC",3889577.80617843
"151","2021-01-27","Kenosha",2,3,"Normal","N1GC",13230.4536044618
"152","2021-01-27","Kenosha",2,3,"Normal","N2GC",9590.2123632375
"153","2021-01-27","Kenosha",2,3,"Normal","PMMOVGC",2996151.21918201
"154","2021-01-27","Kenosha",3,1,"Normal","N1GC",6319.905359967
"155","2021-01-27","Kenosha",3,1,"Normal","N2GC",8107.79938859699
"156","2021-01-27","Kenosha",3,1,"Normal","PMMOVGC",4030794.33275861
"157","2021-01-27","Kenosha",3,2,"Normal","N1GC",16254.7737164551
"158","2021-01-27","Kenosha",3,2,"Normal","N2GC",12284.1076854956
"159","2021-01-27","Kenosha",3,2,"Normal","PMMOVGC",4108203.30382669
"160","2021-01-27","Kenosha",3,3,"Normal","N1GC",5242.88202955117
"161","2021-01-27","Kenosha",3,3,"Normal","N2GC",8931.70584541394
"162","2021-01-27","Kenosha",3,3,"Normal","PMMOVGC",3749421.31080425
"163","2021-01-25","Platteville",1,1,"Normal","N1GC",5963.67999002758
"164","2021-01-25","Platteville",1,1,"Normal","N2GC",7426.72276041222
"165","2021-01-25","Platteville",1,1,"Normal","PMMOVGC",11040055.9890636
"166","2021-01-25","Platteville",1,2,"Normal","N1GC",13181.1306275329
"167","2021-01-25","Platteville",1,2,"Normal","N2GC",12237.8035354696
"168","2021-01-25","Platteville",1,2,"Normal","PMMOVGC",10822417.3746123
"169","2021-01-25","Platteville",1,3,"Normal","N1GC",16055.7693979438
"170","2021-01-25","Platteville",1,3,"Normal","N2GC",7223.81849150514
"171","2021-01-25","Platteville",1,3,"Normal","PMMOVGC",7823974.19308746
"172","2021-01-25","Platteville",2,1,"Normal","N1GC",5679.06735678456
"173","2021-01-25","Platteville",2,1,"Normal","N2GC",30740.4487157554
"174","2021-01-25","Platteville",2,1,"Normal","PMMOVGC",126445816.999994
"175","2021-01-25","Platteville",2,2,"Normal","N1GC",15137.3501785447
"176","2021-01-25","Platteville",2,2,"Normal","N2GC",20075.293646081
"177","2021-01-25","Platteville",2,2,"Normal","PMMOVGC",123501460.978695
"178","2021-01-25","Platteville",2,3,"Normal","N1GC",19158.3295454498
"179","2021-01-25","Platteville",2,3,"Normal","N2GC",12368.4251941461
"180","2021-01-25","Platteville",2,3,"Normal","PMMOVGC",72850479.0850794
"181","2021-01-25","Platteville",3,1,"Normal","N1GC",13933.1351139972
"182","2021-01-25","Platteville",3,1,"Normal","N2GC",28802.4753607746
"183","2021-01-25","Platteville",3,1,"Normal","PMMOVGC",17880647.910979
"184","2021-01-25","Platteville",3,2,"Normal","N1GC",10885.2649726821
"185","2021-01-25","Platteville",3,2,"Normal","N2GC",37343.7671700468
"186","2021-01-25","Platteville",3,2,"Normal","PMMOVGC",19606194.1045261
"187","2021-01-25","Platteville",3,3,"Normal","N1GC",15462.0867893253
"188","2021-01-25","Platteville",3,3,"Normal","N2GC",28023.220210974
"189","2021-01-25","Platteville",3,3,"Normal","PMMOVGC",12473361.3094434
"190","2021-01-26","Platteville",1,1,"Normal","N1GC",52703.4474004978
"191","2021-01-26","Platteville",1,1,"Normal","N2GC",87453.6905080913
"192","2021-01-26","Platteville",1,1,"Normal","PMMOVGC",17551249.2512678
"193","2021-01-26","Platteville",1,2,"Normal","N1GC",79480.368276321
"194","2021-01-26","Platteville",1,2,"Normal","N2GC",68497.9841960001
"195","2021-01-26","Platteville",1,2,"Normal","PMMOVGC",17030752.8992772
"196","2021-01-26","Platteville",1,3,"Normal","N1GC",41149.1428771525
"197","2021-01-26","Platteville",1,3,"Normal","N2GC",82800.3548830441
"198","2021-01-26","Platteville",1,3,"Normal","PMMOVGC",12721181.2093669
"199","2021-01-26","Platteville",2,1,"Normal","N1GC",45291.7000471602
"200","2021-01-26","Platteville",2,1,"Normal","N2GC",55338.4148922136
"201","2021-01-26","Platteville",2,1,"Normal","PMMOVGC",11666561.5752796
"202","2021-01-26","Platteville",2,2,"Normal","N1GC",46446.5937706789
"203","2021-01-26","Platteville",2,2,"Normal","N2GC",68876.618482441
"204","2021-01-26","Platteville",2,2,"Normal","PMMOVGC",12020272.6968721
"205","2021-01-26","Platteville",2,3,"Normal","N1GC",76088.4101055971
"206","2021-01-26","Platteville",2,3,"Normal","N2GC",61413.859980372
"207","2021-01-26","Platteville",2,3,"Normal","PMMOVGC",9479128.99320975
"208","2021-01-26","Platteville",3,1,"Normal","N1GC",47165.8047044763
"209","2021-01-26","Platteville",3,1,"Normal","N2GC",54414.2154250624
"210","2021-01-26","Platteville",3,1,"Normal","PMMOVGC",11987235.6686595
"211","2021-01-26","Platteville",3,2,"Normal","N1GC",63821.3467709577
"212","2021-01-26","Platteville",3,2,"Normal","N2GC",57993.7750889701
"213","2021-01-26","Platteville",3,2,"Normal","PMMOVGC",13587587.0840536
"214","2021-01-26","Platteville",3,3,"Normal","N1GC",37539.0163227083
"215","2021-01-26","Platteville",3,3,"Normal","N2GC",60652.1035575002
"216","2021-01-26","Platteville",3,3,"Normal","PMMOVGC",10680874.4294525
"217","2021-01-27","Platteville",1,1,"Normal","N1GC",48355.8518604517
"218","2021-01-27","Platteville",1,1,"Normal","N2GC",101175.902365427
"219","2021-01-27","Platteville",1,1,"Normal","PMMOVGC",11160933.632563
"220","2021-01-27","Platteville",1,2,"Normal","N1GC",83690.0871624808
"221","2021-01-27","Platteville",1,2,"Normal","N2GC",66569.873828456
"222","2021-01-27","Platteville",1,2,"Normal","PMMOVGC",13111046.8799675
"223","2021-01-27","Platteville",1,3,"Normal","N1GC",74349.7259874143
"224","2021-01-27","Platteville",1,3,"Normal","N2GC",66931.0512135904
"225","2021-01-27","Platteville",1,3,"Normal","PMMOVGC",11797084.4091103
"226","2021-01-27","Platteville",2,1,"Normal","N1GC",80059.5765064065
"227","2021-01-27","Platteville",2,1,"Normal","N2GC",86590.4711660053
"228","2021-01-27","Platteville",2,1,"Normal","PMMOVGC",10040474.3116447
"229","2021-01-27","Platteville",2,2,"Normal","N1GC",81348.744867859
"230","2021-01-27","Platteville",2,2,"Normal","N2GC",92226.4922391694
"231","2021-01-27","Platteville",2,2,"Normal","PMMOVGC",13186644.9337381
"232","2021-01-27","Platteville",2,3,"Normal","N1GC",47189.7873091136
"233","2021-01-27","Platteville",2,3,"Normal","N2GC",76268.6059954455
"234","2021-01-27","Platteville",2,3,"Normal","PMMOVGC",11047695.2588696
"235","2021-01-27","Platteville",3,1,"Normal","N1GC",6244.24322441601
"236","2021-01-27","Platteville",3,1,"Normal","N2GC",9401.90898012027
"237","2021-01-27","Platteville",3,1,"Normal","PMMOVGC",7652173.97850299
"238","2021-01-27","Platteville",3,2,"Normal","N1GC",11964.6933659099
"239","2021-01-27","Platteville",3,2,"Normal","N2GC",10664.6198999531
"240","2021-01-27","Platteville",3,2,"Normal","PMMOVGC",8146906.24256265
"241","2021-01-27","Platteville",3,3,"Normal","N1GC",15146.2024751438
"242","2021-01-27","Platteville",3,3,"Normal","N2GC",5400.69655766578
"243","2021-01-27","Platteville",3,3,"Normal","PMMOVGC",6104879.35866015
"244","2021-01-27","Madison",1,1,"Normal","N1GC",2363121.53606678
"245","2021-01-27","Madison",1,1,"Normal","N2GC",3286764.96391693
"246","2021-01-27","Madison",1,1,"Normal","PMMOVGC",27721714.7559934
"247","2021-01-27","Madison",1,2,"Normal","N1GC",4329627.49324182
"248","2021-01-27","Madison",1,2,"Normal","N2GC",3969889.05890382
"249","2021-01-27","Madison",1,2,"Normal","PMMOVGC",32719521.975044
"250","2021-01-27","Madison",1,3,"Normal","N1GC",3356928.37517642
"251","2021-01-27","Madison",1,3,"Normal","N2GC",3111294.3390768
"252","2021-01-27","Madison",1,3,"Normal","PMMOVGC",24752849.5634757
"253","2021-01-27","Madison",2,1,"Normal","N1GC",2425258.07846742
"254","2021-01-27","Madison",2,1,"Normal","N2GC",2452660.91286606
"255","2021-01-27","Madison",2,1,"Normal","PMMOVGC",34842192.6513053
"256","2021-01-27","Madison",2,2,"Normal","N1GC",2783591.8543492
"257","2021-01-27","Madison",2,2,"Normal","N2GC",2862540.14006594
"258","2021-01-27","Madison",2,2,"Normal","PMMOVGC",34406707.5509981
"259","2021-01-27","Madison",2,3,"Normal","N1GC",2555292.92629107
"260","2021-01-27","Madison",2,3,"Normal","N2GC",2383997.39244901
"261","2021-01-27","Madison",2,3,"Normal","PMMOVGC",25234025.3313867
"262","2021-01-27","Madison",3,1,"Normal","N1GC",3047663.06493099
"263","2021-01-27","Madison",3,1,"Normal","N2GC",3464298.38938661
"264","2021-01-27","Madison",3,1,"Normal","PMMOVGC",33483351.4499659
"265","2021-01-27","Madison",3,2,"Normal","N1GC",2949847.35170638
"266","2021-01-27","Madison",3,2,"Normal","N2GC",2793702.59955926
"267","2021-01-27","Madison",3,2,"Normal","PMMOVGC",33912067.123097
"268","2021-01-27","Madison",3,3,"Normal","N1GC",2792762.2683131
"269","2021-01-27","Madison",3,3,"Normal","N2GC",2615455.5524977
"270","2021-01-27","Madison",3,3,"Normal","PMMOVGC",23846992.1877434
"271","2021-01-28","Madison",1,1,"Normal","N1GC",664909.643728728
"272","2021-01-28","Madison",1,1,"Normal","N2GC",752793.21484193
"273","2021-01-28","Madison",1,1,"Normal","PMMOVGC",42446194.7526675
"274","2021-01-28","Madison",1,2,"Normal","N1GC",733556.802706079
"275","2021-01-28","Madison",1,2,"Normal","N2GC",887378.30097945
"276","2021-01-28","Madison",1,2,"Normal","PMMOVGC",46983832.6828349
"277","2021-01-28","Madison",1,3,"Normal","N1GC",593513.629025322
"278","2021-01-28","Madison",1,3,"Normal","N2GC",644702.833748005
"279","2021-01-28","Madison",1,3,"Normal","PMMOVGC",37611596.3710269
"280","2021-01-28","Madison",2,1,"Normal","N1GC",397979.074744546
"281","2021-01-28","Madison",2,1,"Normal","N2GC",377518.648763498
"282","2021-01-28","Madison",2,1,"Normal","PMMOVGC",35338940.2734222
"283","2021-01-28","Madison",2,2,"Normal","N1GC",371659.928292128
"284","2021-01-28","Madison",2,2,"Normal","N2GC",456980.897654275
"285","2021-01-28","Madison",2,2,"Normal","PMMOVGC",44323643.6180178
"286","2021-01-28","Madison",2,3,"Normal","N1GC",351936.439380525
"287","2021-01-28","Madison",2,3,"Normal","N2GC",356042.358487091
"288","2021-01-28","Madison",2,3,"Normal","PMMOVGC",30159391.7388965
"289","2021-01-28","Madison",3,1,"Normal","N1GC",419769.78515644
"290","2021-01-28","Madison",3,1,"Normal","N2GC",472575.049321008
"291","2021-01-28","Madison",3,1,"Normal","PMMOVGC",52851229.6032326
"292","2021-01-28","Madison",3,2,"Normal","N1GC",305294.75013184
"293","2021-01-28","Madison",3,2,"Normal","N2GC",413235.131034304
"294","2021-01-28","Madison",3,2,"Normal","PMMOVGC",46088325.9889405
"295","2021-01-28","Madison",3,3,"Normal","N1GC",648185.604928224
"296","2021-01-28","Madison",3,3,"Normal","N2GC",793168.914266355
"297","2021-01-28","Madison",3,3,"Normal","PMMOVGC",35274614.0400008
"298","2021-01-25","Merrill",1,1,"Normal","N1GC",195419.392007877
"299","2021-01-25","Merrill",1,1,"Normal","N2GC",242014.630837778
"300","2021-01-25","Merrill",1,1,"Normal","PMMOVGC",12111997.5330625
"301","2021-01-25","Merrill",1,2,"Normal","N1GC",90733.6951820125
"302","2021-01-25","Merrill",1,2,"Normal","N2GC",180909.365690824
"303","2021-01-25","Merrill",1,2,"Normal","PMMOVGC",18975433.7452536
"304","2021-01-25","Merrill",1,3,"Normal","N1GC",222304.589892522
"305","2021-01-25","Merrill",1,3,"Normal","N2GC",169475.560692944
"306","2021-01-25","Merrill",1,3,"Normal","PMMOVGC",12350662.9041703
"307","2021-01-25","Merrill",2,1,"Normal","N1GC",346268.028278528
"308","2021-01-25","Merrill",2,1,"Normal","N2GC",287345.539880722
"309","2021-01-25","Merrill",2,1,"Normal","PMMOVGC",16937703.3023467
"310","2021-01-25","Merrill",2,2,"Normal","N1GC",221001.034994371
"311","2021-01-25","Merrill",2,2,"Normal","N2GC",203872.167871525
"312","2021-01-25","Merrill",2,2,"Normal","PMMOVGC",13636732.355098
"313","2021-01-25","Merrill",2,3,"Normal","N1GC",154371.852683627
"314","2021-01-25","Merrill",2,3,"Normal","N2GC",307676.761689592
"315","2021-01-25","Merrill",2,3,"Normal","PMMOVGC",21581703.8111256
"316","2021-01-25","Merrill",3,1,"Normal","N1GC",253344.174611973
"317","2021-01-25","Merrill",3,1,"Normal","N2GC",323465.464341872
"318","2021-01-25","Merrill",3,1,"Normal","PMMOVGC",23762765.1161571
"319","2021-01-25","Merrill",3,2,"Normal","N1GC",236330.042267784
"320","2021-01-25","Merrill",3,2,"Normal","N2GC",406803.393690125
"321","2021-01-25","Merrill",3,2,"Normal","PMMOVGC",18947951.8048405
"322","2021-01-25","Merrill",3,3,"Normal","N1GC",224115.066478843
"323","2021-01-25","Merrill",3,3,"Normal","N2GC",245138.884068461
"324","2021-01-25","Merrill",3,3,"Normal","PMMOVGC",19611152.6370661
"325","2021-01-26","Merrill",1,1,"Normal","N1GC",266712.798278744
"326","2021-01-26","Merrill",1,1,"Normal","N2GC",282545.153239859
"327","2021-01-26","Merrill",1,1,"Normal","PMMOVGC",11835831.4626991
"328","2021-01-26","Merrill",1,2,"Normal","N1GC",118783.053916455
"329","2021-01-26","Merrill",1,2,"Normal","N2GC",225537.163711763
"330","2021-01-26","Merrill",1,2,"Normal","PMMOVGC",11157008.0793976
"331","2021-01-26","Merrill",1,3,"Normal","N1GC",254775.472266152
"332","2021-01-26","Merrill",1,3,"Normal","N2GC",229697.538305315
"333","2021-01-26","Merrill",1,3,"Normal","PMMOVGC",9982882.85097653
"334","2021-01-26","Merrill",2,1,"Normal","N1GC",78445.9169280387
"335","2021-01-26","Merrill",2,1,"Normal","N2GC",182452.304242536
"336","2021-01-26","Merrill",2,1,"Normal","PMMOVGC",9232943.4399115
"337","2021-01-26","Merrill",2,2,"Normal","N1GC",130057.03969007
"338","2021-01-26","Merrill",2,2,"Normal","N2GC",286562.246501893
"339","2021-01-26","Merrill",2,2,"Normal","PMMOVGC",7042703.16822248
"340","2021-01-26","Merrill",2,3,"Normal","N1GC",164685.893570517
"341","2021-01-26","Merrill",2,3,"Normal","N2GC",206841.98795829
"342","2021-01-26","Merrill",2,3,"Normal","PMMOVGC",7619716.54623405
"343","2021-01-26","Merrill",3,1,"Normal","N1GC",169816.265516666
"344","2021-01-26","Merrill",3,1,"Normal","N2GC",325327.493154854
"345","2021-01-26","Merrill",3,1,"Normal","PMMOVGC",8440442.51483427
"346","2021-01-26","Merrill",3,2,"Normal","N1GC",226352.154659397
"347","2021-01-26","Merrill",3,2,"Normal","N2GC",289050.650360122
"348","2021-01-26","Merrill",3,2,"Normal","PMMOVGC",9440686.00060074
"349","2021-01-26","Merrill",3,3,"Normal","N1GC",153992.745790382
"350","2021-01-26","Merrill",3,3,"Normal","N2GC",334647.558314333
"351","2021-01-26","Merrill",3,3,"Normal","PMMOVGC",10495472.141964
"352","2021-01-27","Merrill",1,1,"Normal","N1GC",205733.476312186
"353","2021-01-27","Merrill",1,1,"Normal","N2GC",234688.038973478
"354","2021-01-27","Merrill",1,1,"Normal","PMMOVGC",11609629.0511328
"355","2021-01-27","Merrill",1,2,"Normal","N1GC",231902.4377812
"356","2021-01-27","Merrill",1,2,"Normal","N2GC",182612.89241192
"357","2021-01-27","Merrill",1,2,"Normal","PMMOVGC",17997870.2812029
"358","2021-01-27","Merrill",1,3,"Normal","N1GC",235044.882196552
"359","2021-01-27","Merrill",1,3,"Normal","N2GC",163084.694225501
"360","2021-01-27","Merrill",1,3,"Normal","PMMOVGC",19178801.7072512
"361","2021-01-27","Merrill",2,1,"Normal","N1GC",139770.158250537
"362","2021-01-27","Merrill",2,1,"Normal","N2GC",269019.200902683
"363","2021-01-27","Merrill",2,1,"Normal","PMMOVGC",15669909.7761873
"364","2021-01-27","Merrill",2,2,"Normal","N1GC",202558.463297768
"365","2021-01-27","Merrill",2,2,"Normal","N2GC",270265.467252474
"366","2021-01-27","Merrill",2,2,"Normal","PMMOVGC",18720802.1081717
"367","2021-01-27","Merrill",2,3,"Normal","N1GC",92007.0252841923
"368","2021-01-27","Merrill",2,3,"Normal","N2GC",207097.130611234
